cohort_month,months_since,cohort_size,pct_active
2025-05,3,1167,20.4
2025-05,4,1167,8.7
2025-05,5,1167,3.4
2025-05,6,1167,0.5
2025-05,7,1167,0.2
2025-05,8,1167,0.1
2025-05,9,1167,0.0
2025-06,0,1027,100.0
2025-06,1,1027,66.0
2025-06,2,1027,42.0
2025-06,3,1027,19.7
2025-06,4,1027,9.7
2025-06,5,1027,3.2
2025-06,6,1027,1.0
2025-06,7,1027,0.1
2025-06,8,1027,0.0
2025-06,9,1027,0.0
2025-07,0,1078,100.0
2025-07,1,1078,65.2
2025-07,2,1078,37.7
2025-07,3,1078,19.1
2025-07,4,1078,6.6
2025-07,5,1078,2.2
2025-07,6,1078,0.5
2025-07,7,1078,0.1
2025-07,8,1078,0.0
2025-07,9,1078,0.0
2025-08,0,984,100.0
2025-08,1,984,66.1
2025-08,2,984,41.3
2025-08,3,984,20.7
2025-08,4,984,8.1
2025-08,5,984,2.6
2025-08,6,984,0.8
2025-08,7,984,0.2
2025-08,8,984,0.1
2025-08,9,984,0.0
2025-09,0,966,100.0
2025-09,1,966,65.1
2025-09,2,966,39.4
2025-09,3,966,21.0
2025-09,4,966,8.9
2025-09,5,966,2.2
2025-09,6,966,0.9
2025-09,7,966,0.2
2025-09,8,966,0.0
2025-09,9,966,0.0
2025-10,0,1004,100.0
2025-10,1,1004,67.5
2025-10,2,1004,43.0
2025-10,3,1004,21.0
2025-10,4,1004,9.3
2025-10,5,1004,3.5
2025-10,6,1004,1.1
2025-10,7,1004,0.4
2025-10,8,1004,0.0
2025-10,9,1004,0.0
2025-11,0,1090,100.0
2025-11,1,1090,66.8
2025-11,2,1090,37.7
2025-11,3,1090,19.4
2025-11,4,1090,8.2
2025-11,5,1090,2.8
2025-11,6,1090,0.6
2025-11,7,1090,0.2
2025-11,8,1090,0.0
2025-11,9,1090,0.0
2025-12,0,1267,100.0
2025-12,1,1267,68.6
2025-12,2,1267,40.6
2025-12,3,1267,23.4
2025-12,4,1267,8.4
2025-12,5,1267,3.1
2025-12,6,1267,0.9
2025-12,7,1267,0.0
2025-12,8,1267,0.0
2025-12,9,1267,0.0
2026-01,0,1393,100.0
2026-01,1,1393,68.1
2026-01,2,1393,45.7
2026-01,3,1393,24.3
2026-01,4,1393,11.7
2026-01,5,1393,4.1
2026-01,6,1393,0.2
2026-01,7,1393,0.0
2026-01,8,1393,0.0
2026-01,9,1393,0.0
2026-02,0,1274,100.0
2026-02,1,1274,72.0
2026-02,2,1274,42.9
2026-02,3,1274,22.1
2026-02,4,1274,8.9
2026-02,5,1274,0.4
2026-02,6,1274,0.0
2026-02,7,1274,0.0
2026-02,8,1274,0.0
2026-02,9,1274,0.0
2026-03,0,1465,100.0
2026-03,1,1465,68.5
2026-03,2,1465,41.4
2026-03,3,1465,19.9
2026-03,4,1465,0.8
2026-03,5,1465,0.0
2026-03,6,1465,0.0
2026-03,7,1465,0.0
2026-03,8,1465,0.0
2026-03,9,1465,0.0
2026-04,0,1275,100.0
2026-04,1,1275,67.6
2026-04,2,1275,37.8
2026-04,3,1275,1.7
2026-04,4,1275,0.0
2026-04,5,1275,0.0
2026-04,6,1275,0.0
2026-04,7,1275,0.0
2026-04,8,1275,0.0
2026-04,9,1275,0.0
2026-05,0,1337,100.0
2026-05,1,1337,62.7
2026-05,2,1337,2.8
2026-05,3,1337,0.0
2026-05,4,1337,0.0
2026-05,5,1337,0.0
2026-05,6,1337,0.0
2026-05,7,1337,0.0
2026-05,8,1337,0.0
2026-05,9,1337,0.0
2026-06,0,1145,100.0
2026-06,1,1145,4.5
2026-06,2,1145,0.0
2026-06,3,1145,0.0
2026-06,4,1145,0.0
2026-06,5,1145,0.0
2026-06,6,1145,0.0
2026-06,7,1145,0.0
2026-06,8,1145,0.0
2026-06,9,1145,0.0
2026-07,0,25,100.0
2026-07,1,25,0.0
2026-07,2,25,0.0
2026-07,3,25,0.0
2026-07,4,25,0.0
2026-07,5,25,0.0
2026-07,6,25,0.0
2026-07,7,25,0.0
2026-07,8,25,0.0
2026-07,9,25,0.0
